ingest_run_id,ingested_at,source_dataset,source_path,source_rel_path,file_name,file_extension,file_size_bytes,file_modified_at,file_checksum_sha256
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__01_Jan_2015.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__01_Jan_2015.csv,ttc-bus-delay-data-2015__01_Jan_2015.csv,.csv,533599,2026-03-09T00:49:37Z,84343757da9ff5bb615855060b6fafbff738bb9a8364fa48ae04d56f14e315b6
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__02_Feb_2015.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__02_Feb_2015.csv,ttc-bus-delay-data-2015__02_Feb_2015.csv,.csv,630583,2026-03-09T00:49:37Z,b3b32e27a32f0b39c0a9458dd0c0f6c90142bc24a48d419c943bf6541c756892
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__03_Mar_2015.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__03_Mar_2015.csv,ttc-bus-delay-data-2015__03_Mar_2015.csv,.csv,495031,2026-03-09T00:49:38Z,a14af12d46908510e65fb1079f403ffdae906645b749712b615085b900c8cf84
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__04_Apr_2015.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__04_Apr_2015.csv,ttc-bus-delay-data-2015__04_Apr_2015.csv,.csv,487181,2026-03-09T00:49:38Z,12d40bf4874499f609a0bc722da11b8ac977fa72c3d7b663960f542ae16d5dba
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__05_May_2015.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__05_May_2015.csv,ttc-bus-delay-data-2015__05_May_2015.csv,.csv,524946,2026-03-09T00:49:39Z,2096777948c98f92a610b26f7d3cafaa079ebd347f724d1f711b1e7e4de6787b
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__06_June_2015.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__06_June_2015.csv,ttc-bus-delay-data-2015__06_June_2015.csv,.csv,519863,2026-03-09T00:49:39Z,e8fc400ec7245afec0e08ca3f4caaad5bc343ad589487d9b445e85627ecf4752
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__07_July_2015.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__07_July_2015.csv,ttc-bus-delay-data-2015__07_July_2015.csv,.csv,475341,2026-03-09T00:49:40Z,a863ea515d2ddbcbead060bd932ee8d9cd8737906a62139bead892b9dbbbfdf2
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__08_Aug_2015.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__08_Aug_2015.csv,ttc-bus-delay-data-2015__08_Aug_2015.csv,.csv,384287,2026-03-09T00:49:40Z,3dbaa2baeecfe086147704da42a4747d237b6c3c46043000dba00b7c70d40c75
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__09_Sept_2015.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__09_Sept_2015.csv,ttc-bus-delay-data-2015__09_Sept_2015.csv,.csv,499654,2026-03-09T00:49:40Z,5de00274422138a781d4884c17fef272d4267d1b95395a5023899c191ab68200
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__10_Oct_2015.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__10_Oct_2015.csv,ttc-bus-delay-data-2015__10_Oct_2015.csv,.csv,553312,2026-03-09T00:49:41Z,9afdf9bcb204a273864ff1bbe080399ddcf3fbeb64097259c9adc124a5d19c73
