parsed_at,snapshot_file,snapshot_path,snapshot_rel_path,snapshot_ts_utc,feed_timestamp_utc,parse_mode,status,rows_emitted,feed_entities,alert_entities,parse_caveat,source_bytes,source_sha256
2026-03-23T07:44:01Z,alerts_20260323T074401Z.pb,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T074401Z.pb,alerts/raw_snapshots/alerts_20260323T074401Z.pb,2026-03-23T07:44:01Z,2026-03-23T07:43:43Z,protobuf,ok,17,4,4,,982,03d40757a07d7101d39aef5f019fc3f0f6183f0bd29c9e131a8176854444e595
2026-03-23T08:14:02Z,alerts_20260323T081401Z.pb,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T081401Z.pb,alerts/raw_snapshots/alerts_20260323T081401Z.pb,2026-03-23T08:14:01Z,2026-03-23T08:13:41Z,protobuf,ok,17,4,4,,982,8ff4d085cccf859ba3e6b2ff4602caad78cc1499e8cdead66108856ae6f13a33
2026-03-23T08:44:02Z,alerts_20260323T084402Z.pb,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T084402Z.pb,alerts/raw_snapshots/alerts_20260323T084402Z.pb,2026-03-23T08:44:02Z,2026-03-23T08:43:54Z,protobuf,ok,17,4,4,,982,e333a4e8d7af179227b2d75574cde8e52d10ac6f3e7857c17b882935c04dc2b2
2026-03-23T09:14:03Z,alerts_20260323T091403Z.pb,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T091403Z.pb,alerts/raw_snapshots/alerts_20260323T091403Z.pb,2026-03-23T09:14:03Z,2026-03-23T09:13:39Z,protobuf,ok,17,4,4,,982,3620e8646e7a863ebad2d4e869c739811872641e32c609c7e1dc781342b08c3d
2026-03-23T09:44:03Z,alerts_20260323T094403Z.pb,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T094403Z.pb,alerts/raw_snapshots/alerts_20260323T094403Z.pb,2026-03-23T09:44:03Z,2026-03-23T09:43:44Z,protobuf,ok,17,4,4,,982,c8547ad9b6f5cf2481db3c1de7fb4a8c0c6828a734cc7b321879084f5f166d22
2026-03-23T10:14:04Z,alerts_20260323T101404Z.pb,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T101404Z.pb,alerts/raw_snapshots/alerts_20260323T101404Z.pb,2026-03-23T10:14:04Z,2026-03-23T10:13:29Z,protobuf,ok,17,4,4,,982,f3c560ead58493e10965f8d1aa1d724991da9887ce65e2808f61ec8e8186de9c
2026-03-23T10:44:05Z,alerts_20260323T104405Z.pb,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T104405Z.pb,alerts/raw_snapshots/alerts_20260323T104405Z.pb,2026-03-23T10:44:05Z,2026-03-23T10:44:01Z,protobuf,ok,17,4,4,,982,86f874a2cbc7711499479e8051f94cd425d8066a0f866678431f2ab6fa5633bc
2026-03-23T11:14:05Z,alerts_20260323T111405Z.pb,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T111405Z.pb,alerts/raw_snapshots/alerts_20260323T111405Z.pb,2026-03-23T11:14:05Z,2026-03-23T11:13:58Z,protobuf,ok,17,4,4,,982,4dd26033f757369a6e2d124be3328736299de90bf6e4784e1ede6bd50654ca75
2026-03-23T11:44:06Z,alerts_20260323T114406Z.pb,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T114406Z.pb,alerts/raw_snapshots/alerts_20260323T114406Z.pb,2026-03-23T11:44:06Z,2026-03-23T11:44:04Z,protobuf,ok,29,5,5,,1325,5562594916d99be0738afdc36ffaf5ab617824c0bf3b00df98ec7ddecee9b27a
2026-03-23T12:14:06Z,alerts_20260323T121406Z.pb,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T121406Z.pb,alerts/raw_snapshots/alerts_20260323T121406Z.pb,2026-03-23T12:14:06Z,2026-03-23T12:13:48Z,protobuf,ok,29,5,5,,1325,75672ba9e601d2946fec40fc19f2dbfae42e5a24c9305703324184d0f97e5a17
2026-03-23T12:44:07Z,alerts_20260323T124407Z.pb,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T124407Z.pb,alerts/raw_snapshots/alerts_20260323T124407Z.pb,2026-03-23T12:44:07Z,2026-03-23T12:44:06Z,protobuf,ok,30,6,6,,1537,a4150b411a6a5d4c7edf44b8d0a07072501fd7a5e7f3102d5844218e5a9f23c9
2026-03-23T13:14:08Z,alerts_20260323T131408Z.pb,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T131408Z.pb,alerts/raw_snapshots/alerts_20260323T131408Z.pb,2026-03-23T13:14:08Z,2026-03-23T13:14:03Z,protobuf,ok,29,5,5,,1325,c549f0c012f48bf1f9e4213346c5dfe2efa39f8b01849ae73a3a4f78087ccec4
2026-03-23T13:44:08Z,alerts_20260323T134408Z.pb,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T134408Z.pb,alerts/raw_snapshots/alerts_20260323T134408Z.pb,2026-03-23T13:44:08Z,2026-03-23T13:44:06Z,protobuf,ok,33,9,9,,2033,07eec019387e3091f5df84f2e740ec573648809cf4547bbe6682a87e2cd3e9d9
2026-03-23T14:14:09Z,alerts_20260323T141409Z.pb,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T141409Z.pb,alerts/raw_snapshots/alerts_20260323T141409Z.pb,2026-03-23T14:14:09Z,2026-03-23T14:13:40Z,protobuf,ok,34,10,10,,2268,a3b083e0d127e3eac9e6a908914ea03e3aab9bb1e208034aedcde2705f96dde8
2026-03-23T14:44:09Z,alerts_20260323T144409Z.pb,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T144409Z.pb,alerts/raw_snapshots/alerts_20260323T144409Z.pb,2026-03-23T14:44:09Z,2026-03-23T14:43:59Z,protobuf,ok,32,8,8,,1979,18fb4a735d418b917bccc090d32fb0cae8a75b0191abfb1a39978db81655f76f
